name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
san francisco california,2008-05-01T00:00:00,9.6,7.4,4.4,69.99,0,0,,0,0,,14.8,285,1019.2,0,16,,,,,Clear,clear-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T01:00:00,9.4,8.3,4.5,71.47,0,0,,0,0,,8.3,250,1019,0,16,,,,,Clear,clear-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T02:00:00,9.2,7.6,4,69.94,0,0,,0,0,,10.7,297,1019,14.3,16,,,,,Clear,clear-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T03:00:00,8.4,6.5,4,73.65,0,0,,0,0,,11.6,345,1019,0,16,,,,,Clear,clear-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T04:00:00,7.9,7.1,3.8,75.01,0,0,,0,0,,5.8,284,1019,0,16,,,,,Clear,clear-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T05:00:00,7.4,7.4,3.4,75.68,0,0,,0,0,,2.6,270,1019.1,0,16,,,,,Clear,clear-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T06:00:00,6.8,5.6,3.6,79.61,0,0,,0,0,,7.1,348,1019.1,14.3,16,,,,,Clear,clear-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T07:00:00,7,7,3.5,78.06,0,0,,0,0,,2.6,270,1019.8,14.3,15.1,,,,,Clear,clear-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T08:00:00,10.5,10.5,4.8,67.73,0,0,,0,0,,6.2,290,1020.5,14.3,16,,,,,Clear,clear-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T09:00:00,12.1,12.1,4.9,61.51,0,0,,0,0,,2.9,318,1020.4,0,16,,,,,Clear,clear-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T10:00:00,13.1,13.1,5.7,60.67,0,0,,0,0,,9.1,320,1020.1,0,16,,,,,Clear,clear-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T11:00:00,15.1,15.1,5.7,53.37,0,0,,0,0,,7.1,240,1020,0,16,,,,,Clear,clear-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T12:00:00,16.6,16.6,3.9,42.61,0,0,,0,0,,12.2,320,1019.1,0,16,,,,,Clear,clear-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T13:00:00,18.8,18.8,2.8,34.47,0,0,,0,0,,24.4,281,1018.5,0,16,,,,,Clear,clear-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T14:00:00,18.2,18.2,4.6,40.44,0,0,,0,0,,28.1,263,1018.6,0,16,,,,,Clear,clear-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T15:00:00,18.7,18.7,4.1,38.01,0,0,,0,0,,30.9,270,1018.2,0,16,,,,,Clear,clear-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T16:00:00,18.1,18.1,3.2,37.1,0,0,,0,0,50,36.4,274,1017.8,28.1,16,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T17:00:00,17.5,17.5,4.5,42.15,0,0,,0,0,48.2,29.5,274,1017.5,0,16,,,,,Clear,clear-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T18:00:00,16.5,16.5,4.3,44.53,0,0,,0,0,,26.6,274,1017.4,14.3,16,,,,,Clear,clear-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T19:00:00,14.5,14.5,5,52.96,0,0,,0,0,,28.1,267,1017,14.3,16,,,,,Clear,clear-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T20:00:00,12.7,12.7,5.8,62.83,0,0,,0,0,48.2,26.2,272,1017,14.3,16,,,,,Clear,clear-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T21:00:00,11.7,11.7,6.1,68.34,0,0,,0,0,,19.3,275,1017.4,13.7,16,,,,,Clear,clear-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T22:00:00,11.4,11.4,6.4,71.2,0,0,,0,0,,16.4,275,1017.5,0,16,,,,,Clear,clear-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-01T23:00:00,11,11,6.4,73,0,0,,0,0,,13,273,1017.8,0,16,,,,,Clear,clear-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T00:00:00,10.7,10.7,6.3,74.4,0,0,,0,0,,8.5,276,1018,0,16,,,,,Clear,clear-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T01:00:00,10.7,10.7,6.1,73.23,0,0,,0,0,,7.8,241,1018,0,16,,,,,Clear,clear-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T02:00:00,10.8,10.8,6.1,73.05,0,0,,0,0,,6.9,251,1017.7,0,16,,,,,Clear,clear-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T03:00:00,10.2,10.2,6.1,75.66,0,0,,0,0,,6.5,294,1017.6,0,16,,,,,Clear,clear-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T04:00:00,9.5,8.2,6.5,81.95,0,0,,0,0,,8.8,290,1017.6,0,16,,,,,Clear,clear-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T05:00:00,8.5,6.4,5.8,82.76,0,0,,0,0,,13.3,349,1017.6,14.3,16,,,,,Clear,clear-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T06:00:00,9.6,7,6.4,80.65,0,0,,0,0,,19.2,275,1017.7,23.9,16,,,,,Partially cloudy,partly-cloudy-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T07:00:00,9.5,7.3,6.8,83.53,0,0,,0,0,,15,275,1017.9,44.1,13.3,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T08:00:00,11.1,11.1,7.2,77.02,0,0,,0,0,,11.5,290,1018.4,44.1,16,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T09:00:00,11.5,11.5,7.1,74.67,0,0,,0,0,,22.7,266,1018.9,70.7,16,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T10:00:00,12.1,12.1,6.9,70.79,0,0,,0,0,,22.6,257,1019.2,72.3,16,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T11:00:00,13.3,13.3,7,65.62,0,0,,0,0,,23.7,256,1019.5,95.4,16,,,,,Overcast,cloudy,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T12:00:00,13.8,13.8,7.3,64.79,0,0,,0,0,,19.2,262,1019.4,100,16,,,,,Overcast,cloudy,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T13:00:00,13.8,13.8,7.3,64.8,0,0,,0,0,,22.8,270,1019.2,93.6,16,,,,,Overcast,cloudy,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T14:00:00,14.2,14.2,6.7,60.97,0,0,,0,0,,28.5,265,1019,100,16,,,,,Overcast,cloudy,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T15:00:00,14.1,14.1,6.8,61.23,0,0,,0,0,,26.8,256,1018.7,100,15,,,,,Overcast,cloudy,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T16:00:00,14.3,14.3,7.1,61.77,0,0,,0,0,,28.4,261,1018.5,95.4,15,,,,,Overcast,cloudy,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T17:00:00,13.6,13.6,7.2,64.87,0,0,,0,0,48.2,31.1,267,1018.3,90.6,15,,,,,Overcast,cloudy,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T18:00:00,13.9,13.9,7.5,65.67,0,0,,0,0,48.2,27.6,267,1018,90,15,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T19:00:00,13,13,7.2,67.68,0,0,,0,0,48.2,21.9,268,1017.5,46.8,15,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T20:00:00,12,12,6.9,71.09,0,0,,0,0,,21.3,262,1017.7,37.6,15,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T21:00:00,11.4,11.4,7.1,74.91,0,0,,0,0,,26.5,257,1018.1,37.6,16,,,,,Partially cloudy,partly-cloudy-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T22:00:00,10.9,10.9,7.8,81.15,0,0,,0,0,,24.3,257,1018.2,46.8,16,,,,,Partially cloudy,partly-cloudy-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-02T23:00:00,10.6,10.6,7.8,82.85,0,0,,0,0,,17.8,254,1018,46.8,16,,,,,Partially cloudy,partly-cloudy-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T00:00:00,10.5,10.5,7.8,83.03,0,0,,0,0,,13.7,273,1017.8,65.1,13.7,,,,,Partially cloudy,partly-cloudy-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T01:00:00,10.2,10.2,7.7,84.53,0,0,,0,0,,13.3,260,1017.7,43,13.7,,,,,Partially cloudy,partly-cloudy-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T02:00:00,9.9,7.3,8.2,89.17,0,0,,0,0,,19.6,250,1017.4,61.5,12.8,,,,,Partially cloudy,partly-cloudy-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T03:00:00,9.9,7.7,8.2,89.25,0,0,,0,0,,15.2,247,1016.8,93.6,12.8,,,,,Overcast,cloudy,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T04:00:00,10.6,10.6,8.1,84.8,0,0,,0,0,,13.3,270,1016.7,93.6,13.6,,,,,Overcast,cloudy,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T05:00:00,10.3,10.3,8.1,86.62,0,0,,0,0,,20,260,1016.6,93.6,13.6,,,,,Overcast,cloudy,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T06:00:00,9.9,7.5,8,87.98,0,0,,0,0,,17.5,241,1016.7,93.6,13.6,,,,,Overcast,cloudy,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T07:00:00,10.2,10.2,7.8,84.98,0,0,,0,0,,15,241,1017.1,89,11.9,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T08:00:00,10.7,10.7,8.2,84.6,0,0,,0,0,,11.3,206,1017.4,89,14.7,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T09:00:00,12.1,12.1,8.7,79.84,0,0,,0,0,,5.1,210,1017.2,55.5,16,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T10:00:00,13.1,13.1,8.5,73.45,0,0,,0,0,,8.8,124,1016.9,28.1,16,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T11:00:00,14.2,14.2,9.1,71.03,0,0,,0,0,,8.6,116,1016.7,28.1,15,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T12:00:00,15.2,15.2,8.9,65.7,0,0,,0,0,,19.1,258,1016.7,28.1,16,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T13:00:00,15.5,15.5,8.9,64.73,0,0,,0,0,,26.8,280,1016.4,37.2,15,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T14:00:00,16.4,16.4,9.2,62.35,0,0,,0,0,48.2,33.2,266,1016,28.1,15,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T15:00:00,15.9,15.9,9.2,64.23,0,0,,0,0,53.6,30.9,267,1015.6,46.8,15,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T16:00:00,15.9,15.9,9.2,64.37,0,0,,0,0,51.8,30.2,267,1015.1,28.1,16,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T17:00:00,15.4,15.4,9.4,67.24,0,0,,0,0,48.2,29.1,264,1014.3,28.1,16,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T18:00:00,14.8,14.8,9.1,68.58,0,0,,0,0,48.2,24,263,1013.9,28.1,15,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T19:00:00,13.7,13.7,9.1,74,0,0,,0,0,,24.8,267,1013.6,37.6,13.2,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T20:00:00,12.1,12.1,8.9,80.51,0,0,,0,0,,19.2,268,1013.6,37.6,11.8,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T21:00:00,11.6,11.6,8.9,83.92,0,0,,0,0,,15.4,274,1013.6,46.8,12.8,,,,,Partially cloudy,partly-cloudy-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T22:00:00,11.6,11.6,8.9,83.67,0,0,,0,0,,14.9,272,1013.6,37.2,12.8,,,,,Partially cloudy,partly-cloudy-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-03T23:00:00,11,11,8.9,87.19,0,0,,0,0,,15.3,283,1013.5,60.1,12.1,,,,,Partially cloudy,partly-cloudy-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-04T00:00:00,10.9,10.9,8.9,87.56,0,0,,0,0,,5.7,289,1013.3,69.7,10.5,,,,,Partially cloudy,partly-cloudy-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-04T01:00:00,11.1,11.1,8.6,84.78,0,0,,0,0,,11.2,239,1013,60.1,11.9,,,,,Partially cloudy,partly-cloudy-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-04T02:00:00,10.9,10.9,8.6,86.08,0,0,,0,0,,8.3,277,1012.3,57.5,12.4,,,,,Partially cloudy,partly-cloudy-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-04T03:00:00,10.6,10.6,8.6,87.74,0,0,,0,0,,0.9,230,1011.8,65.9,12.4,,,,,Partially cloudy,partly-cloudy-night,"72493023230,72495593227,72494023234"
san francisco california,2008-05-04T04:00:00,10.6,10.6,8.2,84.82,0,0,,0,0,,10.7,239,1011.3,95.2,13.3,,,,,Overcast,cloudy,"72493023230,72495593227,72494023234"
san francisco california,2008-05-04T05:00:00,10.6,10.6,8.2,85,0,0,,0,0,,14.3,237,1011.1,100,12,,,,,Overcast,cloudy,"72493023230,72495593227,72494023234"
san francisco california,2008-05-04T06:00:00,10,10,7.6,84.94,0,0,,0,0,,21.2,245,1011.3,100,11.5,,,,,Overcast,cloudy,"72493023230,72495593227,72494023234"
san francisco california,2008-05-04T07:00:00,10,7.8,7.6,84.97,0,0,,0,0,,15.8,235,1011.3,95.2,9.6,,,,,Overcast,cloudy,"72493023230,72495593227,72494023234"
