,taxi_id,traj_id,path,length
0,112,479,"[204965468, 204965468, 204965468, 204965468, 204965468, 204965468, 505747574, 505747574, 505747574, 505747574, 505747574]",11
1,378,1123,"[930108605, 236348363, 541597678, 202317708, 895590879, 123741276, 123741579, 123741579, 11197882, 617898002, 123867433, 10713933, 28411002, 28411003, 119058988, 119058975, 123867428, 119058972]",18
2,217,1048,"[163784093, 163784093, 408590436, 184956229, 513676826, 425624293, 28841123]",7
3,439,2756,"[28950512, 28950513, 619535727, 972701764, 23773149, 184255648, 184573317, 1050658552, 513672262, 123456285, 619289208, 35869651, 395233036, 35869649, 619310219, 24204045, 24204046, 931307988, 931307989]",19
4,452,1800,"[306338109, 306338109, 306338109, 306338109, 306338109, 1021548265, 1021548265, 306338108, 306338108, 306338108, 306338108, 306338108, 306338108, 306338108, 306338108, 306338108, 306338108, 706551787]",18
5,121,154,"[483931204, 391860317, 391860317, 391860317, 391860316, 391860316, 1034016008, 414985775, 437550708, 397098178, 437558596, 437558596, 397098176, 969998976, 225518496, 225518496, 225518496, 414933525]",18
6,351,85,"[158468713, 99278918, 23887130]",3
7,330,86,"[254759942, 86334994, 86334994, 86334994, 86334994, 86334994, 111552058, 111552058, 111552058, 255330068, 255330068, 88597544, 88597544, 417396858]",14
8,14,763,"[204965468, 505747574, 505747574, 505747574, 505747574, 505747574, 505747574, 505747574, 505747574, 505747574, 505747574, 505747574, 505747574, 24335459, 24335459, 860632366, 860632366, 417106781, 417106781, 417106781]",20
9,164,808,"[254466686, 1126161508, 1126161508, 930538359, 930538359]",5
10,280,416,"[397130970, 397130970]",2
11,446,202,"[718215928, 718215928, 718215928, 8921141, 1071635370, 1071635370, 397119705, 397119705, 88572887, 88572887, 88572887, 88572887, 417087485, 88572874, 1020490223, 1020490223, 1020490223]",17
12,21,1744,"[216881164, 216881165, 5071579, 4311275]",4
13,340,1392,"[514231186, 283535654]",2
14,117,416,"[706543958, 397085179, 397085199]",3
15,139,89,"[30029846, 775083030, 775083030, 30029867, 30029867, 30029867]",6
16,313,160,"[224199010, 224199010, 254396708, 254396708]",4
17,434,421,"[142972026, 142972026, 514535080, 154648296, 154648296, 154648296, 154648296, 154648296, 154648296, 154648296, 154648296, 154648296, 233201264, 233201264, 233201264, 233201264, 225806029, 225806029]",18
18,321,172,"[499940843, 97637745, 972745887, 97637737, 468128864, 417385463]",6
19,393,312,"[254758114, 254758114, 254758114, 254758114, 254758114, 254758114, 254758114, 674757878, 674757878]",9
20,61,101,"[306338109, 306338109, 306338109, 306338109, 306338109, 1021548265]",6
21,149,152,"[718975942, 713801530, 713801530, 527829985, 527829985, 527829985, 527829981, 527829981, 527829981, 85644911, 85644911, 417094183]",12
22,39,1136,"[512283895, 512283899, 525614254, 525614252, 525614252, 84733294, 933272216, 414374879, 1043663159, 1043663159, 1043663159, 1043663160, 287658940]",13
23,245,1148,"[406944779, 406944779, 287958606, 287958606, 287958606, 287958606]",6
24,516,540,"[931289808, 823717559, 823717558, 4970206, 28947845, 216932393]",6
25,337,792,"[1120887426, 1089572944, 1089572944, 143617587, 143617587, 1089572945, 739664234]",7
26,100,2369,"[771410424, 771410424, 771410424, 771410424, 527829966, 527829966, 527829966, 958538680]",8
27,205,320,"[527829990, 527829990, 527829989, 527829989, 527829989, 1047613705]",6
28,172,598,"[254984059, 85644959, 85644959, 8918232, 8918232, 85562557, 85562585, 85562585]",8
29,51,968,"[923712623, 254466694, 997349781, 997349781, 929718664, 929718663, 1122037242, 398664215, 99278916, 408575053, 8917335, 8917523, 8919163, 8919163, 263108751, 263108751, 263108751, 224199010, 224199010]",19
30,108,54,"[44670366, 44670366, 44670366, 204965468, 204965468, 204965468, 254759912, 254759912, 254759912, 47160823, 47160823]",11
31,209,977,"[23160361, 417937203, 417937203, 256400253, 256400253, 256400253, 256400253, 256400253, 256400253, 256400253, 417334015, 435668947, 417334030, 417334005, 417334005, 417334023]",16
32,151,1265,"[38855344, 38855344, 38855344, 38855344, 38855344, 38855344, 38855344, 603549786, 603549786, 256787747]",10
33,134,211,"[8917197, 8921045, 286514942, 286514942, 286514942, 286514942, 8916896, 228371250, 514591449, 514591449, 694605192, 694605192, 32115461, 32115461, 32115461, 32115461, 435742279, 32115463, 8918911, 133743882]",20
34,250,58,"[525564024, 525564024, 680402684, 680402683, 143617589, 143617589, 143617589, 682475680]",8
35,294,860,"[514685521, 514685521, 514685521, 514685521, 514685521, 514685521, 514685521, 514685521, 514685521, 776856242, 776856242]",11
36,357,788,"[499940849, 499940848]",2
37,385,346,"[1021093206, 397144001, 397144001, 111552058, 111552058, 111552058, 255330068, 255330068, 88597544, 88597544, 417396858, 144489134, 144489134, 144489134, 1030287469, 1030287469]",16
38,439,720,"[204964839, 204964839, 361622905, 228339825, 228339825, 417087433, 688337288, 154647381]",8
39,173,1126,"[927650699, 465136851, 465136851, 465136865, 465136865, 352008048, 352008048, 464914947, 464914947, 769978764, 769978764, 157595334, 417341010, 417341010, 396980602]",15
40,382,893,"[397098178, 437558596, 437558596, 397098176, 969998976, 225518496, 225518496, 225518496, 414933525, 414933525, 414933525, 414933525, 276338266, 276338266, 276338266, 397097601, 397097601, 397097601, 969998992, 254758116]",20
41,74,80,"[144346316, 144346316, 144346316, 144346316]",4
